Year,OilProductionInTWh,BarrelsDayEquiv
1912,0,0
1912,0.01163,6841.176423
1912,0,0
1912,0,0
1912,0,0
1912,0,0
1912,0,0
1912,0,0
1912,0,0
1912,0,0
1912,0.37216,218917.6455
1912,3.54715,2086558.809
1912,0,0
1912,0,0
1912,0,0
1912,0,0
1912,0,0
1912,0,0
1912,0,0
1912,0,0
1912,0,0
1912,37.08807,21816511.61
1912,0,0
1912,0.32564,191552.9398
1912,106.58895,62699381.91
1912,143.67703,84515899.41
1912,37.08807,21816511.61
1912,37.08807,21816511.61
1912,0,0
1912,0,0
1912,1.57005,923558.8171
1912,0,0
1912,0,0
1912,0,0
1912,364.54236,214436680.9
1912,0.03489,20523.52927
1912,11.03687,6492276.425
1912,17.66597,10391746.99
1912,0.95366,560976.4667
1912,0,0
1912,0,0
1912,0.08141,47888.23496
1912,2.72142,1600835.283
1912,0,0
1912,0,0
1912,0,0
1912,29.98214,17636552.82
1912,0.06978,41047.05854
1912,25.67904,15105317.54
1912,0.95366,560976.4667
1912,0,0
1912,0,0
1912,0,0
1912,0,0
1912,0,0
1912,0,0
1912,372.49728,219116045.5
1912,371.75296,218678210.2
1912,0,0
1912,389.47708,229104163.1
1912,0.95366,560976.4667
1912,0,0
1912,0,0
1912,0,0
1912,0.95366,560976.4667
1912,2.72142,1600835.283
1912,0,0
1912,13.30472,7826305.828
1912,0,0
1912,22.08537,12991394.03
1912,0,0
1912,2.80283,1648723.518
1912,0,0
1912,0,0
1912,0,0
1912,0,0
1912,0,0
1912,0,0
1912,0.74432,437835.2911
1912,0,0
1912,0,0
1912,106.58895,62699381.91
1912,0,0
1912,0,0
1912,345.70175,203353969.2
1912,157.22598,92485869.94
1912,0,0
1912,551.7505,324559115.4
1912,0,0
1913,0.15119,88935.2935
1913,0.15119,88935.2935
1913,0,0
1913,0,0
1913,0,0
1913,0.22097,129982.352
1913,36.68102,21577070.44
1913,33.44788,19675223.39
1913,0,0
1913,0.01163,6841.176423
1913,0,0
1913,0,0
1913,0,0
1913,0,0
1913,0,0
1913,0,0
1913,0,0
1913,0,0
1913,0.3489,205235.2927
1913,4.27984,2517552.924
1913,0,0
1913,0,0
1913,0,0
1913,0,0
1913,0,0
1913,0,0
1913,0,0
1913,0,0
1913,0,0
1913,36.61124,21536023.38
1913,0,0
1913,0.15119,88935.2935
1913,104.79793,61645840.74
1913,141.40916,83181858.24
1913,36.61124,21536023.38
1913,36.61124,21536023.38
1913,0.63965,376264.7032
1913,0,0
1913,1.40723,827782.3471
1913,0,0
1913,0,0
1913,0,0
1913,404.74725,238086616
1913,0.02326,13682.35285
1913,12.29291,7231123.479
1913,17.74738,10439635.22
1913,3.23314,1901847.046
1913,0,0
1913,0,0
1913,0.08141,47888.23496
1913,3.17499,1867641.163
1913,0,0
1913,0,0
1913,0,0
1913,33.424618,19661539.86
1913,0.2326,136823.5285
1913,40.20491,23649946.89
1913,3.23314,1901847.046
1913,0,0
1913,0,0
1913,0,0
1913,0,0
1913,0,0
1913,0,0
1913,426.65817,250975392.4
1913,425.8092,250475998.2
1913,0,0
1913,444.10318,261237162.9
1913,3.23314,1901847.046
1913,0,0
1913,0,0
1913,0,0
1913,3.23314,1901847.046
1913,3.20988,1888164.693
1913,0,0
1913,12.95582,7621070.535
1913,0,0
1913,21.49224,12642494.03
1913,0,0
1913,3.43085,2018147.045
1913,0,0
1913,0,0
1913,0,0
1913,0,0
1913,0,0
1913,0,0
1913,0.84899,499405.8789
1913,0,0
1913,0,0
1913,104.79793,61645840.74
1913,0,0
1913,0,0
1913,385.25537,226620804.3
1913,170.15854,100093258.1
1913,0,0
1913,608.3304,357841409.3
1913,0,0
1914,1.163,684117.6423
1914,1.163,684117.6423
1914,0,0
1914,0,0
1914,0,0
1914,0.4652,273647.0569
1914,39.01865,22952146.9
1914,34.57599,20338817.5
1914,0,0
1914,0.01163,6841.176423
1914,0,0
1914,0,0
1914,0,0
1914,0,0
1914,0,0
1914,0,0
1914,0,0
1914,0,0
1914,0.33727,198394.1163
1914,4.57059,2688582.334
1914,0,0
1914,0,0
1914,0,0
1914,0,0
1914,0,0
1914,0,0
1914,0.02326,13682.35285
1914,0,0
1914,0,0
1914,32.65704,19210023.39
